id;first_name;last_name;location;stack;external_id;salary
1;Kole;Huel;Extensions;GO;17601;14118
2;Ethyl;Miller;Mongolia;C;20571;27413
3;Alisa;Senger;Mercedes Assistant leverage;DBA;30059;14369
4;Marcella;Hessel-Simonis;Customer;GO;21933;6414
5;Finn;Boehm;Response Modesta teal;GO;1011;15271
6;Hildegard;Ullrich;feed Ergonomic Congo;NET;23106;8057
7;Trudie;Bogisich-Gislason;purple;JAVA;6829;30525
8;Jacques;Gorczany;Bespoke Tools;ML;1600;16449
9;Viviane;Veum;ivory;GO;20;9217
10;Tomas;Bins;Response;C;4406;30075
